time_sec,x,y,w,h
0.742,920,620,75,160
0.978,1558,400,718,775
1.011,922,623,74,159
1.045,1577,377,504,742
1.079,1550,382,500,751
1.112,1547,375,521,743
1.146,1537,375,533,750
1.18,1555,373,557,743
1.247,1585,377,661,751
1.281,1561,372,680,744
1.348,1453,385,665,760
1.382,1433,381,700,744
1.416,1431,381,780,755
1.45,1385,394,769,780
1.483,1384,397,801,778
1.517,1343,393,804,770
1.551,1314,398,742,779
1.584,1236,383,715,755
1.618,1138,370,476,740
1.652,1132,371,486,742
1.719,1047,368,325,736
1.787,952,374,342,708
1.82,943,373,347,707
1.854,934,367,343,720
1.888,929,363,350,717
1.922,930,361,365,722
1.955,918,362,405,724
1.989,909,361,407,723
2.023,907,362,423,724
2.056,916,363,415,727
2.09,895,361,370,723
2.124,887,363,385,722
2.158,881,367,403,735
2.191,857,365,412,725
2.225,846,361,412,723
2.259,814,359,346,718
2.292,807,359,337,718
2.326,783,359,290,719
2.36,786,362,293,720
2.393,769,362,267,723
2.427,763,362,256,725
2.461,761,363,253,725
2.495,764,367,262,718
2.528,760,366,268,720
2.562,758,371,269,706
2.596,753,373,275,695
2.629,753,381,283,672
2.663,752,389,274,665
2.697,749,390,281,636
2.731,747,401,281,637
2.764,745,405,263,630
2.798,745,405,257,620
2.832,744,405,254,612
2.865,740,408,260,616
2.899,738,406,257,626
2.933,736,409,251,622
2.967,737,404,236,628
3.0,731,411,241,616
3.034,726,411,236,613
3.068,724,425,232,587
3.101,722,425,228,583
3.135,717,424,226,579
3.169,714,434,223,554
3.203,710,427,222,584
3.236,707,441,217,557
3.27,703,430,216,596
3.304,699,435,217,588
3.337,692,447,220,547
3.371,688,450,211,546
3.405,685,457,207,517
3.439,682,444,205,549
3.472,681,445,204,548
3.506,681,443,204,539
3.54,681,446,202,525
3.573,678,459,205,498
3.607,678,462,203,492
3.641,677,471,205,468
3.675,678,465,197,478
3.708,678,471,196,467
3.742,679,474,191,468
3.776,680,477,186,465
3.809,680,474,186,478
3.843,678,475,183,480
3.877,681,477,177,474
3.91,686,481,168,460
3.944,684,491,171,447
3.978,682,484,176,452
4.012,681,485,178,439
4.045,679,492,184,434
4.079,679,495,184,426
4.113,680,501,182,416
4.146,680,502,181,409
4.18,680,500,182,418
4.214,683,504,178,401
4.248,683,507,178,400
4.281,682,508,178,396
4.315,678,510,179,396
4.349,679,511,174,389
4.382,679,511,166,386
4.416,678,513,165,383
4.45,677,517,161,381
4.484,674,518,160,380
4.517,670,517,160,382
4.551,667,518,153,378
4.585,666,512,149,391
4.618,664,507,149,400
4.652,663,518,143,377
4.686,664,517,142,371
4.72,663,518,139,369
4.753,664,521,138,361
4.787,665,521,135,362
4.821,666,522,135,361
4.854,665,524,134,359
4.888,667,525,134,355
4.922,666,524,133,356
4.956,666,524,135,358
4.989,669,522,130,367
5.023,668,525,134,361
5.057,669,523,135,364
5.09,672,526,138,358
5.124,675,523,143,363
5.158,677,522,151,359
5.192,679,528,161,349
5.225,680,522,158,364
5.259,682,523,156,365
5.293,684,522,160,365
5.326,685,524,164,362
5.36,688,524,164,364
5.394,692,520,172,372
5.427,698,522,172,362
5.461,706,522,166,366
5.495,711,521,168,367
5.529,716,521,162,371
5.562,727,521,146,368
5.596,732,525,137,361
5.63,735,522,137,363
5.663,746,521,118,362
5.697,753,520,105,359
5.731,758,522,93,358
5.765,760,522,93,357
5.798,761,524,95,360
5.832,762,524,93,361
5.866,765,525,93,360
5.899,768,525,91,361
5.933,770,526,89,356
5.967,772,525,87,355
6.001,774,526,86,351
6.034,776,530,90,344
6.068,777,529,91,346
6.102,779,531,95,345
6.135,780,530,98,347
6.169,780,532,104,348
6.203,783,533,101,346
6.237,786,535,100,338
6.27,788,532,110,343
6.304,793,532,100,339
6.338,788,534,113,340
6.371,794,536,104,335
6.405,797,539,104,331
6.439,801,537,101,331
6.473,806,540,100,322
6.506,808,542,97,314
6.54,821,547,117,314
6.574,818,547,113,318
6.607,822,545,115,323
6.641,823,544,118,313
6.675,823,546,126,313
6.709,824,544,132,317
6.742,825,545,134,323
6.776,824,544,140,317
6.81,831,546,148,309
6.843,833,549,152,303
6.877,835,548,146,304
6.911,844,553,152,293
6.944,853,551,177,301
6.978,854,554,183,301
7.012,859,555,177,302
7.046,865,559,175,289
7.079,873,559,166,289
7.113,877,561,155,285
7.147,881,561,143,283
7.18,894,560,115,289
7.214,904,562,100,284
